S.No,STATE,DISTRICT,Total Rainfall (mm),Recharge Worthy Area (ha),Hilly Area (ha),Total Geographical Area (ha),Goundwater Recharge (ham) - Total Rainfall Recharge,Goundwater Recharge (ham) - Canals,Ground Water Recharge (ham) - Surface Water Irrigation,Ground Water Recharge (ham) - Total Ground Water Irrigration,Ground Water Recharge (ham) - Tanks and Ponds,Ground Water Recharge (ham) - Water Conservation Structure,Ground Water Recharge (ham) - Total,Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ham) - Domestic,Ground Water Extraction for all uses (ham) - Industrial,Ground Water Extraction for all uses (ham) - Irrigation,Ground Water Extraction for all uses (ham) - Total,Stage of Ground Water Extraction (%) ,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham) - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham) - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham) - Saline
609,TELANGANA,Rangareddy,713,482698,22176,504873,31035,,,8734,14870,1272,55910,55910,5378,50533,4195,1167,29036,34398,68,5749,18611,571039,0,621572,0,621572,0
610,TELANGANA,Sangareddy,863,346594,31775,378369,27294,48,2693,4495,1506,3255,39291,39291,3753,35538,1833,1499,14028,17360,49,2396,19082,0,0,35538,0,35538,0
611,TELANGANA,Siddipet,773,340727,24451,365179,25363,0,6983,11616,8502,2739,55203,55203,5508,49696,1187,1015,31965,34168,69,1211,15814,109105,0,159822,0,159822,0
612,TELANGANA,Suryapet,780,360750,834,361584,24188,5968,62285,11199,6196,4589,114424,114424,11153,103271,2394,1194,27386,30974,30,3162,71641,257688,0,361315,0,361315,0
613,TELANGANA,Vikarabad,744,367296,103,367399,20705,,0,5729,5220,4736,36390,36390,3639,32751,591,157,19118,19866,61,2003,12252,156184,0,188935,0,188935,0
614,TELANGANA,Wanaparthy,632,212214,6811,219025,11226,811,46203,11043,938,627,70848,70848,6699,64149,500,508,27349,28357,44,1217,35548,95402,0,160813,0,160813,0
615,TELANGANA,Warangal,1014,171337,5273,176610,13567,916,29696,8867,2345,598,55989,55989,5387,50603,907,1287,27205,29399,58,1504,21644,0,0,50779,0,50779,0
616,TELANGANA,Yadadri Bhuvanagiri,744,343282,2165,345447,23861,7444,19786,15375,4823,5172,76462,76462,7324,69137,2703,4459,40967,48128,70,2704,25096,246367,0,346473,26175,346473,26175
617,TRIPURA,DHALAI,2424,99581,131908,231489,20083,0,1790,62,454,,22388,20619,2239,18380,972,0,378,1351,7,1256,16745,129495,0,147874,0,147874,0
618,TRIPURA,GOMATI,2175,109828,51877,161705,19075,0,5927,141,1196,,26339,24720,2522,22197,915,1,387,1303,6,1081,20728,140757,0,162955,0,162955,0
619,TRIPURA,KHOWAI,2224,49560,51685,101245,9202,0,2915,44,457,,12619,12423,1262,11161,668,24,133,825,7,770,10233,63515,0,74676,0,74676,0
620,TRIPURA,NORTH TRIPURA,2541,54382,81410,135792,12079,0,1199,5,496,,13780,10425,1378,9047,1020,11,72,1104,12,1247,7717,72336,0,81383,0,81383,0
621,TRIPURA,SEPAHIJALA,2036,87170,17222,104392,14128,0,7526,236,980,,22870,20268,2287,17981,1038,4,579,1621,9,1197,16201,115878,0,133859,0,133859,0
622,TRIPURA,SOUTH TRIPURA,2449,98103,53098,151201,20147,0,5805,478,782,,27213,24758,2721,22036,968,6,1319,2292,10,1143,19569,126825,0,148861,0,148861,0
623,TRIPURA,UNAKOTI,2392,42878,22825,65703,8838,0,1088,15,464,,10405,9265,1040,8224,680,8,166,854,10,832,7219,53588,0,61812,0,61812,0
624,TRIPURA,WEST TRIPURA,2046,78282,19360,97642,13271,0,3546,243,512,,17572,16809,1665,15144,2266,213,668,3148,21,2677,11586,101084,0,116229,0,116229,0
625,UTTAR PRADESH,AGRA,615,394717,0,394717,43917,19914,11748,14092,473,553,93216,93216,7273,85943,11239,196,84301,95736,111,13500,5594,0,0,85943,0,85943,0
626,UTTAR PRADESH,ALIGARH,667,380843,0,380843,49138,26940,5332,17176,368,301,100280,100280,7700,92580,12059,544,61691,74294,80,13090,20216,0,0,92580,0,92580,0
627,UTTAR PRADESH,AMBEDKAR NAGAR,1013,245898,0,245898,53130,8632,4350,13199,1275,1,80588,80588,8059,72529,6484,46,39204,45735,63,6671,26608,0,0,72529,0,72529,0
628,UTTAR PRADESH,AMETHI,853,232992,0,232992,41796,21728,10587,14294,1269,76,89750,89750,8975,80775,5084,546,47582,53213,66,5308,27338,0,0,80775,0,80775,0
629,UTTAR PRADESH,AMROHA,903,214903,0,214903,39343,3500,0,11295,231,10,54379,54379,4754,49625,4978,813,40399,46189,93,5188,5385,0,0,49625,0,49625,0
630,UTTAR PRADESH,AURAIYA,625,209427,0,209427,27582,18535,9261,12559,291,263,68490,68490,6849,61641,2980,7,35851,38838,63,3097,22686,0,0,61641,0,61641,0
631,UTTAR PRADESH,AYODHYA,953,252201,0,252201,49898,25938,2709,13539,2318,,94402,94402,8879,85523,7402,531,45045,52979,62,7823,32124,0,0,85523,0,85523,0
632,UTTAR PRADESH,AZAMGARH,900,417119,0,417119,79183,27171,12277,18247,3459,0,140339,140339,13810,126528,14095,32,60803,74931,59,14837,50856,0,0,126528,0,126528,0
633,UTTAR PRADESH,BAGPAT,675,135139,0,135139,15570,12833,317,5570,1015,0,35304,35304,3223,32081,2562,125,28081,30769,96,2647,3741,0,0,32081,0,32081,0
634,UTTAR PRADESH,BAHRAICH,1159,438725,0,438725,90351,28332,2424,25953,2497,4822,154379,154379,10005,144373,10034,163,74096,84293,58,10471,59644,0,0,144373,0,144373,0
635,UTTAR PRADESH,BALLIA,922,292700,0,292700,56521,14541,6546,15732,1826,,95165,95165,8989,86175,8410,16,44968,53395,62,9026,32165,0,0,86175,0,86175,0
636,UTTAR PRADESH,BALRAMPUR,1065,334857,0,334857,72376,10571,891,16870,2598,6361,109666,109666,9556,100111,6399,458,48164,55021,55,6750,44739,0,0,100111,0,100111,0
637,UTTAR PRADESH,BANDA,943,440460,0,440460,51999,0,7345,11251,696,1245,72535,72535,6264,66272,4096,2,40253,44352,67,4257,21759,0,0,66272,0,66272,0
638,UTTAR PRADESH,BARABANKI,978,389132,0,389132,79371,64088,28404,36745,2643,,211252,211252,20375,190876,9273,535,108835,118643,62,9671,71836,0,0,190876,0,190876,0
639,UTTAR PRADESH,BAREILLY,878,412000,0,412000,67394,18443,6664,22079,1735,191,117704,117704,8008,109696,13745,1811,63027,78584,72,14210,32744,0,0,109696,0,109696,0
640,UTTAR PRADESH,BASTI,1111,293807,0,293807,68653,695,0,13597,1132,77,84153,84153,8087,76066,6665,87,42490,49243,65,6902,26587,0,0,76066,0,76066,0
641,UTTAR PRADESH,BIJNOR,1054,458903,0,458903,101011,20821,3386,25763,598,361,151939,151939,14826,137114,8117,1033,86029,95179,69,9877,40174,0,0,137114,0,137114,0
642,UTTAR PRADESH,BUDAUN,785,423788,0,423788,64558,0,80,14368,1101,25,80132,80132,6123,74009,8050,31,50674,58756,79,10206,13836,0,0,74009,0,74009,0
643,UTTAR PRADESH,BULANDSHAHAR,673,360947,0,360947,47205,68899,6117,38791,599,45,161655,161655,13894,147761,6282,712,130627,137622,93,7339,15064,0,0,147761,0,147761,0
644,UTTAR PRADESH,CHANDAULI,949,188369,0,188369,30170,5504,11451,7914,332,1187,56558,56558,4992,51567,4760,108,26290,31158,60,5796,19372,0,0,51567,0,51567,0
645,UTTAR PRADESH,CHITRAKOOT,943,300665,0,300665,32544,0,1934,7412,462,1310,43663,43663,4366,39296,2683,127,29087,31897,81,3676,6651,0,0,39296,0,39296,0
646,UTTAR PRADESH,DEORIA,1019,253800,0,253800,50803,13194,56357,22949,2033,,145336,145336,13308,132028,6691,35,76494,83221,63,7914,47585,0,0,132028,0,132028,0
647,UTTAR PRADESH,ETAH,658,242757,0,242757,31843,13485,26028,15156,645,272,87429,87429,7593,79837,4727,47,52045,56819,71,5645,22099,0,0,79837,0,79837,0
648,UTTAR PRADESH,ETAWAH,587,240301,0,240301,28368,21977,12012,10015,150,14,72536,72536,6636,65900,3331,156,31488,34974,53,4101,30156,0,0,65900,0,65900,0
649,UTTAR PRADESH,FARRUKHABAD,753,220623,0,220623,33198,4996,540,10816,414,34,49999,49999,3929,46069,4100,15,30162,34278,74,4244,11648,0,0,46069,0,46069,0
650,UTTAR PRADESH,FATEHPUR,747,425255,0,425255,64085,29338,6722,18030,1378,607,120160,120160,10467,109694,7602,22,71207,78831,72,9954,28693,0,0,109694,0,109694,0
651,UTTAR PRADESH,FIROZABAD,657,241953,0,241953,29526,21738,34620,0,597,895,87376,87376,8421,78955,6921,104,71027,78052,99,7151,12027,0,0,78955,0,78955,0
652,UTTAR PRADESH,G.B.NAGAR,537,144273,0,144273,16287,17715,3764,13479,281,0,51527,51527,5153,46374,1565,2415,44808,48789,105,1759,3989,0,0,46374,0,46374,0
653,UTTAR PRADESH,GHAZIABAD,730,116914,0,116914,15534,13361,1136,10464,78,0,42164,42164,4216,37948,7333,2744,36884,46961,124,10631,1581,0,0,37948,0,37948,0
