S.No,STATE,DISTRICT,Total Rainfall (mm),Recharge Worthy Area (ha),Hilly Area (ha),Total Geographical Area (ha),Goundwater Recharge (ham) - Total Rainfall Recharge,Goundwater Recharge (ham) - Canals,Ground Water Recharge (ham) - Surface Water Irrigation,Ground Water Recharge (ham) - Total Ground Water Irrigration,Ground Water Recharge (ham) - Tanks and Ponds,Ground Water Recharge (ham) - Water Conservation Structure,Ground Water Recharge (ham) - Total,Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ham) - Domestic,Ground Water Extraction for all uses (ham) - Industrial,Ground Water Extraction for all uses (ham) - Irrigation,Ground Water Extraction for all uses (ham) - Total,Stage of Ground Water Extraction (%) ,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham) - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham) - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham) - Saline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,3016,58040,286106,344146,16376,0,0,0,152,0,16528,16528,1653,14875,262,83,1,346,2,269,14522,0,0,14875,0,14875,0
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2805,38075,156091,194166,11345,0,0,0,16,0,11361,11361,1136,10225,91,1,0,93,1,91,9819,0,0,9911,314,9911,314
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,3016,31524,215321,246845,10777,0,0,0,20,0,10798,10798,1080,9718,323,14,11,347,4,332,9362,0,0,9718,0,9718,0
4,ANDHRA PRADESH,Alluri Sitharama Raju,1258,639235,586108,1225342,46194,,3292,16,68,3187,52756,52756,2638,50118,1580,0,566,2146,4,2173,47784,0,0,50118,0,50118,0
5,ANDHRA PRADESH,Anakapalli,1183,346481,82764,429245,35193,2016,25958,3222,2040,4456,72897,72897,3645,69252,4958,489,16277,21724,31,8163,45061,1247986,0,1317239,0,1317239,0
6,ANDHRA PRADESH,Ananthapuramu,515,946479,97832,1044311,42309,8480,7388,8421,5492,54031,126120,126120,6306,119814,3467,727,37625,41819,35,3467,78908,0,0,119814,0,119814,0
7,ANDHRA PRADESH,Annamayya,748,666066,128462,794528,47530,29,1029,8234,8481,24089,89393,89393,4470,84923,3826,138,29286,33250,39,4540,51486,0,0,84923,0,84923,0
8,ANDHRA PRADESH,Bapatla,827,380118,2767,382885,31662,9791,51449,3570,939,6858,104269,104269,5214,99056,2387,64,15512,17963,26,2590,51239,722005,246755,791031,276786,791031,276786
9,ANDHRA PRADESH,Chittoor,906,600451,85448,685899,53652,,471,11208,7593,10103,83026,83026,4151,78875,4287,1413,37805,43505,55,6211,35646,3225231,0,3304106,0,3304106,0
10,ANDHRA PRADESH,East Godavari,1145,254553,3082,257635,28299,14268,44450,7536,15611,2720,112883,112883,5644,107239,2316,1313,32622,36251,34,2811,71815,0,0,107239,0,107239,0
11,ANDHRA PRADESH,Eluru,1079,649190,10632,659822,67257,11520,46842,9982,24133,11624,171357,171357,8568,162789,10195,517,37034,47745,35,11873,89549,4299127,767183,4436043,793057,4436043,793057
12,ANDHRA PRADESH,Guntur,895,242333,2971,245304,20890,14480,26469,1895,760,475,64970,64970,3248,61721,2589,230,7929,10747,21,3065,39593,425280,368173,476057,379118,476057,379118
13,ANDHRA PRADESH,Kakinada,1104,288917,13063,301980,24832,18130,94013,2955,2575,3336,145841,145841,7292,138549,2156,4568,15677,22401,17,2250,90093,0,0,108766,29783,108766,29783
14,ANDHRA PRADESH,Konaseema,1305,207995,101,208096,32058,33019,74380,1625,433,404,141919,141919,7096,134822,1310,64,9393,10767,11,1557,91277,0,0,102277,32545,102277,32545
15,ANDHRA PRADESH,Krishna,1057,388056,0,388056,53422,54420,91450,8038,391,9697,217419,217419,10871,206548,2254,1035,45712,49000,32,2838,101943,1050914,1220026,1202040,1275448,1202040,1275448
16,ANDHRA PRADESH,Kurnool,610,752247,45494,797741,38735,8628,11773,2946,1868,4123,68073,68073,3404,64669,5587,71,14075,19733,31,6349,44553,0,0,64669,0,64669,0
17,ANDHRA PRADESH,NTR,1032,306319,11805,318124,22037,14397,20971,6719,2297,6883,73305,73305,3665,69639,2440,1218,21105,24763,36,2557,44937,0,0,69639,0,69639,0
18,ANDHRA PRADESH,Nandyal,716,706182,262433,968615,22795,1953,54189,3364,14562,9515,106377,106377,5319,101058,505,128,12159,12792,13,506,88266,0,0,101058,0,101058,0
19,ANDHRA PRADESH,Palnadu,751,651656,78467,730124,28215,7366,57597,8364,2566,10388,114497,114497,5725,108772,4520,66,35978,40564,38,4830,70416,1522220,116087,1629099,117980,1629099,117980
20,ANDHRA PRADESH,Parvathipuram Manyam,1168,294881,119995,414876,33007,745,18277,5075,30128,6670,93903,93903,4695,89208,1767,13,20728,22508,25,2377,67917,0,0,89208,0,89208,0
21,ANDHRA PRADESH,Prakasam,790,1131229,293771,1425000,66596,1110,2574,4133,8227,18466,101107,101107,5056,96051,4870,510,42096,47477,50,5436,54724,5543723,205122,5636653,208242,5636653,208242
22,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,1040,995326,50358,1045685,91789,11238,58783,14710,11951,1880,190351,190351,9518,180833,5687,1106,37344,44137,24,7940,136912,1728433,0,1909264,2,1909264,2
23,ANDHRA PRADESH,Sri Sathya Sai,590,763624,105065,868689,43716,8668,386,15462,10235,46892,125359,125359,6268,119091,8914,137,59351,68401,57,12703,56554,1988549,0,2107640,0,2107640,0
24,ANDHRA PRADESH,Srikakulam,1170,448389,10898,459287,38358,13951,29660,7214,8348,4147,101677,101677,5084,96593,6921,370,27604,34894,36,9217,64615,0,0,95774,819,95774,819
25,ANDHRA PRADESH,Tirupati,1066,762531,60409,822940,82408,541,23612,17406,24458,21724,170150,170150,8508,161642,3817,1515,50352,55684,36,10307,97278,3670550,4430,3823454,13168,3823454,13168
26,ANDHRA PRADESH,Visakhapatnam,1141,100167,0,100167,7347,,3527,736,471,992,13072,13072,654,12419,2494,58,2893,5446,44,4155,6033,748566,0,760985,0,760985,0
27,ANDHRA PRADESH,Vizianagaram,1110,401179,11741,412920,27134,6497,26449,8379,57882,17233,143573,143573,7179,136394,1874,115,35190,37179,27,1874,101466,2008522,0,2144868,48,2144868,48
28,ANDHRA PRADESH,West Godavari,1117,227837,0,227837,39257,5023,93184,761,269,543,139037,139037,6952,132085,1038,154,4091,5282,10,1195,44204,0,0,49243,82842,49243,82842
29,ANDHRA PRADESH,Y.S.R Kadapa,685,880808,241810,1122618,54917,15935,5383,8427,2771,20218,107651,107651,5383,102268,8135,428,30228,38791,38,8135,64473,7656816,0,7759084,0,7759084,0
30,ARUNACHAL PRADESH,ANJAW,0,0,619000,619000,0,,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
31,ARUNACHAL PRADESH,CHANGLANG,2223,53000,413200,466200,19742,,10336,29,,,30108,30108,3011,27097,183,0,65,248,1,226,26806,0,0,27097,0,27097,0
32,ARUNACHAL PRADESH,DIBANG VALLEY,0,0,912900,912900,0,,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
33,ARUNACHAL PRADESH,EAST KAMENG,2026,31250,382150,413400,11145,,6383,32,,6,17566,17566,1757,15809,15,0,94,109,1,24,15692,0,0,15809,0,15809,0
34,ARUNACHAL PRADESH,EAST SIANG,4399,110100,250200,360300,70297,,9925,40,,5,80266,80012,8027,71985,64,4,110,179,0,75,71795,0,0,71985,0,71985,0
35,ARUNACHAL PRADESH,KURUNG KUMEY,0,0,604000,604000,0,,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
36,ARUNACHAL PRADESH,LOHIT,2998,200000,321200,521200,105537,,17398,15,,,122950,121672,12295,109377,231,8,34,274,0,279,109055,0,0,109377,0,109377,0
37,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,3996,120000,270000,390000,77316,,2236,74,,,79625,79625,7963,71663,32,0,217,248,0,34,71412,0,0,71663,0,71663,0
38,ARUNACHAL PRADESH,LOWER SUBANSIRI,1444,10135,340665,350800,2643,,2591,7,,,5241,5010,524,4486,23,0,17,40,1,43,4426,0,0,4486,0,4486,0
39,ARUNACHAL PRADESH,PAPUM PARE,3200,17819,328381,346200,9018,,3283,6,,,12307,10824,1231,9593,108,25,15,149,2,191,9362,0,0,9593,0,9593,0
40,ARUNACHAL PRADESH,TAWANG,0,0,217200,217200,0,,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
41,ARUNACHAL PRADESH,TIRAP,2907,12500,223700,236200,6396,,2269,2,1,0,8669,8669,867,7802,49,0,6,56,1,56,7740,0,0,7802,0,7802,0
42,ARUNACHAL PRADESH,UPPER SIANG,0,0,659000,659000,0,,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
43,ARUNACHAL PRADESH,UPPER SUBANSIRI,1735,700,702500,703200,214,,2480,6,,,2700,2700,270,2430,4,1,17,21,1,7,2405,0,0,2430,0,2430,0
44,ARUNACHAL PRADESH,WEST KAMENG,2389,6175,736025,742200,2596,,756,1,,0,3352,3352,335,3017,12,0,2,13,0,13,3002,0,0,3017,0,3017,0
45,ARUNACHAL PRADESH,WEST SIANG,2892,10459,822041,832500,5323,,874,2,,1,6200,6200,620,5580,2,1,4,8,0,3,5571,0,0,5580,0,5580,0
46,ASSAM,BAKSA,3275,244873,1383,246256,125545,,9555,971,3910,,139981,137558,12987,124571,2014,3,2464,4481,4,2273,119830,1800731,0,1925301,0,1925301,0
47,ASSAM,BARPETA,2052,227056,1144,228200,79517,,380,10442,4260,,94598,90152,6018,84134,4058,19,31337,35413,42,5215,47563,711441,0,795575,0,795575,0
48,ASSAM,BONGAIGAON,3102,99730,9570,109300,46133,,199,6462,1667,,54461,50236,5446,44790,1703,7,14361,16070,36,2166,28257,544471,0,589261,0,589261,0
49,ASSAM,CACHAR,3312,273358,105242,378600,85892,,2610,0,5822,,94324,55011,9432,45579,1436,0,0,1436,3,1817,43762,388148,0,433727,0,433727,0
50,ASSAM,CHIRANG,3219,191794,506,192300,91989,,262,415,430,,93095,91324,9310,82014,956,6,1464,2426,3,1086,79458,1423414,0,1505428,0,1505428,0
51,ASSAM,DARRANG,1951,157654,846,158500,47404,,102,1757,4954,,54217,53985,4582,49403,2150,60,22453,24663,50,2790,24099,1243819,0,1293222,0,1293222,0
52,ASSAM,DHEMAJI,2859,315156,8544,323700,134480,,16,996,662,,136154,103936,13615,90320,1534,7,2781,4322,5,1936,85597,3659095,0,3749415,0,3749415,0
53,ASSAM,DHUBRI,2753,214392,3208,217600,87359,,564,8635,3136,,99694,98956,9389,89567,4751,28,22758,27537,31,6348,60433,636625,0,726192,0,726192,0
54,ASSAM,DIBRUGARH,2649,334688,3412,338100,135484,,43,688,7793,,144008,132597,14401,118196,2718,84,2173,4975,4,3109,112829,3863920,0,3982116,0,3982116,0
55,ASSAM,DIMA HASAO,2792,234300,254500,488800,62795,,,6,76,,62878,62878,6288,56590,239,1,43,284,1,280,56266,351450,0,408040,0,408040,0
56,ASSAM,GOALPARA,2583,171983,10417,182400,68066,,437,5166,1403,,75072,60702,7507,53194,2496,44,14838,17377,33,3258,35055,957348,0,1010543,0,1010543,0
57,ASSAM,GOLAGHAT,1752,348140,2060,350200,105069,,356,1096,1166,,107686,106033,6713,99320,2017,122,3587,5726,6,2330,93281,819759,0,919079,0,919079,0
58,ASSAM,HAILAKANDI,2838,104981,27719,132700,27226,,57,0,5607,,32891,26385,3289,23096,545,0,1,546,2,701,22395,148582,0,171678,0,171678,0
59,ASSAM,JORHAT,2265,279408,5692,285100,112384,,18255,2731,1948,,135318,76152,11919,64233,1400,28,8834,10262,16,1554,53817,1923052,0,1987285,0,1987285,0
60,ASSAM,KAMRUP,1896,263024,47476,310500,82084,,7554,4277,3684,,97598,84979,8977,76002,3596,307,11056,14959,20,4389,60251,1455118,0,1531120,0,1531120,0
61,ASSAM,KAMRUP (M),1813,65912,29545,95457,19755,,145,512,378,,20790,16820,1412,15408,3622,179,1430,5231,34,3701,10099,689574,0,704982,0,704982,0
62,ASSAM,KARBI ANGLONG,1122,656090,387310,1043400,141427,,,207,1829,,143464,130546,12791,117755,1975,39,578,2593,2,2419,114719,1813195,0,1930951,0,1930951,0
63,ASSAM,KARIMGANJ,3751,167648,13252,180900,60369,,81,22,4649,,65122,42172,6512,35660,1349,4,61,1413,4,1744,33851,241799,0,277459,0,277459,0
64,ASSAM,KOKRAJHAR,3102,327030,2570,329600,161038,,949,3241,1318,,166545,160531,15523,145009,1739,5,7730,9474,7,1844,135429,1374537,0,1519545,0,1519545,0
65,ASSAM,LAKHIMPUR,3270,224930,2770,227700,114775,,0,2238,3574,,120587,85150,12059,73091,2468,12,5329,7808,11,3010,64741,457346,0,530437,0,530437,0
66,ASSAM,MORIGAON,1885,149066,6034,155100,41942,,693,2067,2964,,47667,40983,4767,36216,2362,15,5566,7943,22,3111,27524,1188492,0,1224708,0,1224708,0
67,ASSAM,NAGAON,1885,377341,19959,397300,115901,,15337,14300,9280,,154819,129096,15482,113614,1836,103,38380,40318,35,2377,72754,1187135,0,1300749,0,1300749,0
68,ASSAM,NALBARI,1896,103630,1014,104644,30148,,,3920,4012,,38080,38080,3808,34272,402,37,11059,11498,34,461,22716,587456,0,621728,0,621728,0
69,ASSAM,SIBSAGAR,2412,264459,2341,266800,101104,,19,1026,1770,,103920,97133,8932,88201,1774,74,3798,5645,6,1972,82358,1171836,0,1260037,0,1260037,0
70,ASSAM,SONITPUR,1979,513224,7176,520400,169483,,2030,3678,3049,,178239,153232,16031,137201,4063,104,10060,14228,10,4854,122182,5905562,0,6042763,0,6042763,0
71,ASSAM,TINSUKIA,2323,371757,7243,379000,134968,,1785,2284,2011,,141047,128858,14105,114754,2097,69,8631,10796,9,2503,103551,1847951,0,1962705,0,1962705,0
72,ASSAM,UDALGURI,1958,200169,1031,201200,65520,,488,1482,1771,,69261,53442,5732,47711,1542,63,4113,5717,12,1717,41818,1502126,0,1549837,0,1549837,0
73,BIHAR,ARARIA,1632,278937,0,278937,79418,41377,26425,6692,616,3,154531,154531,13349,141182,10664,117,19443,30225,21,15388,106234,0,0,141182,0,141182,0
74,BIHAR,ARWAL,874,63683,0,63683,10225,2959,4903,2398,549,96,21130,21130,2055,19075,2580,133,7291,10005,52,3209,8442,0,0,19075,0,19075,0
75,BIHAR,AURANGABAD,975,309054,21230,330284,48964,31950,36974,9040,3807,397,131132,131132,12378,118754,9451,2683,28725,40859,34,12905,74441,0,0,118754,0,118754,0
76,BIHAR,BANKA,975,267300,34654,301954,46328,2428,12417,6719,1768,2737,72399,72399,6936,65463,7305,105,20652,28062,43,10024,34994,0,0,65463,0,65463,0
77,BIHAR,BEGUSARAI,1091,189131,0,189131,46970,292,878,7178,962,1,56282,56282,5628,50653,10004,78,24193,34275,68,13714,12668,0,0,50653,0,50653,0
78,BIHAR,BHAGALPUR,1208,260255,0,260255,63768,1147,3161,8589,2740,384,79789,79789,7676,72113,7282,1221,25261,33764,47,9846,35785,0,0,72113,0,72113,0
79,BIHAR,BHOJPUR,1052,227530,0,227530,48491,12961,13682,10212,3943,145,89435,89435,8944,80492,8962,742,30528,40231,50,11544,37678,0,0,80492,0,80492,0
80,BIHAR,BUXAR,975,171006,0,171006,30170,10529,12200,6972,4653,130,64652,64652,6285,58367,5412,504,21752,27668,47,6972,29367,0,0,58367,0,58367,0
81,BIHAR,DARBHANGA,1124,250429,0,250429,60802,1982,1860,9215,4208,43,78110,78110,7688,70422,13175,809,27036,41020,58,16506,26071,0,0,70422,0,70422,0
82,BIHAR,EAST CHAMPARAN,1198,395887,0,395887,93757,40999,36837,18528,3538,78,193737,193737,17074,176663,18961,7333,54101,80395,46,27711,87998,0,0,176663,0,176663,0
83,BIHAR,GAYA,1004,490978,7608,498586,92900,3020,9675,15984,12171,932,134681,134681,13076,121605,15590,2050,49964,67604,56,21372,50011,0,0,121605,0,121605,0
84,BIHAR,GOPALGANJ,1136,201913,0,201913,46768,23654,18182,15682,1408,9,105702,105702,10020,95683,8663,523,45604,54790,57,10800,38756,0,0,95683,0,95683,0
85,BIHAR,JAMUI,1107,255114,54712,309826,34727,1715,2032,4203,6654,541,49873,49873,4860,45012,6483,15,12273,18771,42,8818,27211,0,0,45012,0,45012,0
86,BIHAR,JEHANABAD,937,93257,0,93257,17901,4001,3737,6966,1867,125,34597,34597,3450,31148,3654,5,21889,25548,82,4707,5609,0,0,31148,0,31148,0
87,BIHAR,KAIMUR,1126,298040,38166,336206,47976,3156,16849,8628,4808,409,81825,81825,7172,74654,5837,62,26803,32702,44,7970,39976,0,0,74654,0,74654,0
88,BIHAR,KATIHAR,1343,300991,0,300991,86616,13435,5855,12363,1424,10,119703,119703,10280,109422,10577,160,36094,46831,43,14869,59290,0,0,109422,0,109422,0
89,BIHAR,KHAGARIA,1234,148572,0,148572,40717,0,339,6080,848,1,47986,47986,3827,44158,6064,18,21693,27776,63,8733,13714,0,0,44158,0,44158,0
90,BIHAR,KISHANGANJ,2091,191143,0,191143,62116,0,441,4885,549,6,67997,67997,5332,62665,6114,304,15637,22055,35,8840,37884,0,0,62665,0,62665,0
91,BIHAR,LAKHISARAI,1147,114494,8280,122774,22976,6317,6484,3039,2845,1410,43070,43070,4307,38763,3497,88,8877,12462,32,4688,25110,0,0,38763,0,38763,0
92,BIHAR,MADHEPURA,1393,178840,0,178840,42681,26932,28227,9985,809,19,108652,108652,10613,98038,7573,149,29130,36852,38,11053,57706,0,0,98038,0,98038,0
93,BIHAR,MADHUBANI,1293,348645,0,348645,87218,27341,13320,12586,3023,82,143570,143570,12833,130737,15958,8889,35317,60164,46,21619,65671,0,0,130737,0,130737,0
94,BIHAR,MUNGER,1147,133142,6408,139550,27141,665,8948,2978,851,1322,41905,41905,4071,37834,4534,764,8694,13992,37,5738,22638,0,0,37834,0,37834,0
95,BIHAR,MUZAFFARPUR,1155,304277,0,304277,78385,15214,10671,17875,1305,13,123462,123462,12300,111162,16434,1417,54619,72471,65,24014,34545,0,0,111162,0,111162,0
96,BIHAR,NALANDA,1002,231646,3350,234996,46693,1101,3034,11350,6324,268,68770,68770,6494,62276,9447,2041,35639,47126,76,12122,12895,0,0,62276,0,62276,0
97,BIHAR,NAWADA,1042,245658,2999,248657,48906,1243,5766,8837,5569,2773,73094,73094,7133,65961,6087,85,26674,32846,50,7942,31604,0,0,65961,0,65961,0
98,BIHAR,PATNA,1075,320084,0,320084,76335,8397,6532,13475,4008,50,108716,108716,10768,98030,17062,1463,41223,59748,61,22579,34933,0,0,98030,0,98030,0
99,BIHAR,PURNEA,1598,320239,0,320239,85381,40466,27580,15551,612,14,169605,169605,15682,153922,11312,1052,45731,58095,38,15901,91238,0,0,153922,0,153922,0
100,BIHAR,ROHTAS,949,375143,8783,383926,68875,4859,25349,8066,12715,6219,126082,126082,11411,114671,9636,252,24774,34662,30,12271,77374,0,0,114671,0,114671,0
101,BIHAR,SAHARSA,1693,166128,0,166128,46113,10540,5802,5872,424,1,68751,68751,5403,63349,6359,67,17147,23573,37,8671,37463,0,0,63349,0,63349,0
102,BIHAR,SAMASTIPUR,1192,261287,0,261287,70777,890,1417,13299,2254,7,88644,88644,8686,79958,14809,270,39570,54649,68,20063,20532,0,0,79958,0,79958,0
103,BIHAR,SARAN,1124,262957,0,262957,57544,17643,24677,9312,2314,6,111497,111497,10701,100796,13136,177,29155,42469,42,16922,54683,0,0,100796,0,100796,0
104,BIHAR,SHEIKHPURA,1008,66259,2550,68809,13537,308,1172,2519,1096,73,18704,18704,1731,16973,2112,2,7871,9985,59,2699,6556,0,0,16973,0,16973,0
105,BIHAR,SHEOHAR,1293,44299,0,44299,12587,0,3149,2209,126,3,18075,18075,1631,16443,2384,185,6497,9065,55,3298,6464,0,0,16443,0,16443,0
106,BIHAR,SITAMARHI,1293,218520,0,218520,61674,0,1602,6241,1300,26,70842,70842,4976,65867,12133,90,18463,30686,47,16899,30415,0,0,65867,0,65867,0
107,BIHAR,SIWAN,1135,222307,0,222307,50021,23420,17575,13189,2175,19,106397,106397,9819,96579,11108,223,41021,52352,54,14512,40822,0,0,96579,0,96579,0
108,BIHAR,SUPAUL,1274,241026,0,241026,53870,38157,10438,8688,271,1,111425,111425,9977,101448,7964,73,25475,33512,33,11241,64659,0,0,101448,0,101448,0
109,BIHAR,VAISHALI,1177,199518,0,199518,52523,6831,9306,10732,1049,0,80440,80440,7543,72897,11956,2309,32133,46397,64,17554,25327,0,0,72897,0,72897,0
110,BIHAR,WEST CHAMPARAN,1472,387181,47257,434438,97494,42319,32341,11325,1734,135,185349,185349,16486,168863,14688,4484,34091,53264,32,20898,109711,0,0,168863,0,168863,0
111,CHANDIGARH,CHANDIGARH,1010,11400,0,11400,1418,,1529,119,110,72,5318,5318,532,4787,2438,218,551,3207,67,3436,582,0,0,4787,0,4787,0
112,CHHATTISGARH,BALOD,1123,261470,19404,280874,16837,788,8208,8682,3347,2675,40537,40537,3920,36617,2291,85,24213,26589,73,2356,10324,48389,0,85006,0,85006,0
113,CHHATTISGARH,BALODA BAZAR,1397,406748,0,406748,25446,734,29869,7317,3740,930,68036,68036,6699,61337,4666,1220,21004,26889,44,5644,33940,75709,0,137046,0,137046,0
114,CHHATTISGARH,BALRAMPUR,1317,566131,147789,713920,48109,107,1015,3300,848,163,53542,53542,4816,48726,2111,19,11827,13957,29,2201,34679,102110,0,150836,0,150836,0
115,CHHATTISGARH,BASTAR,1363,383533,229465,612998,24018,170,100,1699,1392,206,27585,27585,2069,25516,2332,80,7428,9841,39,2400,15608,72233,0,97750,0,97750,0
116,CHHATTISGARH,BEMETARA,1123,285481,0,285481,18518,551,8872,13988,2673,2958,47560,47560,4756,42804,2534,256,36726,39515,92,2890,4147,52093,0,94897,0,94897,0
117,CHHATTISGARH,BIJAPUR,1528,437729,223519,661248,50074,2,7,1339,815,62,52299,52299,5230,47069,689,2,4539,5231,11,712,41816,87546,0,134615,0,134615,0
118,CHHATTISGARH,BILASPUR,1114,317595,33253,350848,22512,1497,14129,8890,3606,940,51574,51574,4599,46975,5850,693,22541,29083,62,6529,19486,58365,0,105340,0,105340,0
119,CHHATTISGARH,DANTEWADA,1328,311866,29184,341050,24821,62,2,1680,358,21,26945,26945,1824,25121,789,158,3871,4818,19,820,20272,58887,0,84008,0,84008,0
120,CHHATTISGARH,DHAMTARI,1385,248706,159487,408193,21550,1194,23096,15427,7299,671,69237,69237,6924,62313,2139,104,43838,46082,74,2180,16191,46463,0,108776,0,108776,0
121,CHHATTISGARH,DURG,1123,231999,0,231999,14602,536,12192,9285,3245,3368,43228,43228,4323,38906,5023,438,24094,29556,76,5135,10623,43342,0,82247,0,82247,0
122,CHHATTISGARH,GARIABAND,1385,263140,319126,582266,22507,683,3230,6739,2660,1305,37124,37124,3145,33979,1761,26,19588,21376,63,1878,12486,48658,0,82637,0,82637,0
123,CHHATTISGARH,GOURELA-PENDRA-MARWAHI,1230,165123,65616,230739,11505,380,447,998,629,92,14052,14052,1239,12812,1179,2,4093,5274,41,1325,7393,30436,0,43248,0,43248,0
124,CHHATTISGARH,JANJGIR-CHAMPA,1386,215258,22300,237558,12468,475,29719,2937,1866,1159,48623,48623,4522,44101,2916,235,8186,11337,26,3060,32620,40273,0,84374,0,84374,0
125,CHHATTISGARH,JASHPUR,1483,451005,194736,645741,29333,144,535,4709,690,1272,36683,36683,2834,33849,2271,39,15419,17729,52,2320,16072,83670,0,117520,0,117520,0
126,CHHATTISGARH,KABIRDHAM,1117,423963,20742,444705,34089,742,23379,12262,2360,289,73122,73122,7275,65847,2633,88,36409,39131,59,2837,27488,76505,0,142352,0,142352,0
127,CHHATTISGARH,KANKER,1398,626036,17412,643448,57176,500,3317,9833,357,22,71204,71204,5001,66203,2087,34,23941,26062,39,2150,40078,117478,0,183682,0,183682,0
128,CHHATTISGARH,KHAIRAGARH-CHHUIKHADAN_GANDAI,1209,149038,7521,156559,9196,373,4221,4084,1196,668,19737,19737,1762,17976,1106,12,10257,11375,63,1162,6545,27271,0,45247,0,45247,0
129,CHHATTISGARH,KONDAGAON,1362,372241,13786,386027,33615,125,386,4166,668,39,38999,38999,2971,36029,1610,22,14656,16289,45,1659,19912,68703,0,104731,0,104731,0
130,CHHATTISGARH,KORBA,1392,431430,283114,714544,39602,245,391,2772,6691,203,49903,49903,2906,46997,3711,2542,10516,16768,36,3879,30060,79565,0,126562,0,126562,0
131,CHHATTISGARH,KOREA,1317,72647,19045,91692,9989,287,2751,1164,868,156,15216,15216,1013,14203,670,393,5954,7017,49,684,7173,13499,0,27702,0,27702,0
132,CHHATTISGARH,MAHASAMUND,1406,459720,36580,496300,47561,1420,30709,18284,4247,714,102936,102936,8830,94106,2965,161,53764,56889,60,3078,37103,82921,0,177027,0,177027,0
133,CHHATTISGARH,MANENDRAGARH-CHIRMIRI_BHARATPUR,1317,329840,176238,506078,46292,116,1169,1527,660,173,49938,49938,2672,47266,1113,771,8019,9903,21,1136,37340,60860,0,108126,0,108126,0
134,CHHATTISGARH,MOHLA-MANPUR_AMBAGARHCHOWKI,1209,154882,84116,238998,12468,152,493,1912,1013,790,16827,16827,1683,15144,752,32,5033,5817,38,768,9312,29537,0,44681,0,44681,0
135,CHHATTISGARH,MUNGELI,1351,163942,111094,275036,9627,979,8118,3330,1868,2924,26846,26846,2331,24515,1971,31,9317,11319,46,2237,12929,30257,0,54772,0,54772,0
136,CHHATTISGARH,NARAYANPUR,1404,351043,340273,691316,26901,57,309,402,148,229,28046,28046,2805,25241,399,11,2212,2621,10,498,22520,69002,0,94243,0,94243,0
137,CHHATTISGARH,RAIGARH,1466,385919,134470,520389,36243,175,1020,2761,2376,55,42630,42630,3529,39100,3193,2791,11143,17126,44,3302,21865,71009,0,110109,0,110109,0
138,CHHATTISGARH,RAIPUR,1376,289198,0,289198,19615,1099,17054,6588,4245,2238,50839,50839,4573,46265,7556,2176,18039,27771,60,8180,19083,54207,0,100472,0,100472,0
139,CHHATTISGARH,RAJNANDGAON,1209,259732,12728,272460,19691,865,3763,8231,3299,3510,39359,39359,3130,36229,3314,242,20849,24406,67,7358,11217,47962,0,84190,0,84190,0
140,CHHATTISGARH,SAKTI,1386,154389,30999,185388,9204,96,17142,4415,1446,660,32963,32963,3296,29666,1977,11,12314,14302,48,2086,15254,28561,0,58227,0,58227,0
141,CHHATTISGARH,SARANGARH-BILAIRAGH,1418,227638,28300,255938,14485,106,5392,2621,1786,313,24703,24703,2153,22550,1887,60,7018,8965,40,2028,13444,42423,0,64973,0,64973,0
142,CHHATTISGARH,SUKMA,1404,521199,42380,563579,44109,149,19,757,850,41,45925,45925,4158,41767,626,2,1757,2385,6,637,39372,103840,0,145608,0,145608,0
143,CHHATTISGARH,SURAJPUR,1242,263788,14932,278720,29342,120,1235,8622,636,903,40858,40858,2829,38028,2222,1556,20692,24470,64,2298,13483,48513,0,86541,0,86541,0
144,CHHATTISGARH,SURGUJA,1369,425442,93673,519115,35392,240,1151,5211,981,211,43186,43186,3577,39609,2365,1193,16237,19795,50,2436,19757,78130,0,117738,0,117738,0
145,DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI,2266,41600,7500,49100,5479,47,2068,267,62,1898,9820,9820,724,9096,1292,998,889,3179,35,3208,4002,0,0,9096,0,9096,0
146,DAMAN AND DIU,DAMAN,2195,7090,110,7200,1876,12,0,62,574,12,2537,2537,127,2410,731,507,215,1453,60,1808,957,0,0,2410,0,2410,0
